time,seconds_elapsed,z,y,x
1686353862885708300,0.076708251953125,-49.25,-18.125,-12.5
1686353862905708300,0.096708251953125,-49.25,-17.875,-12.5
1686353862925708300,0.116708251953125,-49.375,-18.0625,-12.5
1686353862945708300,0.136708251953125,-49.4375,-18.125,-12.4375
1686353862965711400,0.15671142578125,-49.125,-18.125,-12.5
1686353862985708300,0.176708251953125,-49.0625,-18.125,-12.25
1686353863005708300,0.196708251953125,-48.9375,-17.875,-12
1686353863025708300,0.216708251953125,-48.6875,-17.5625,-12.25
1686353863045708300,0.236708251953125,-48.8125,-17.375,-12
1686353863065709800,0.256709716796875,-48.9375,-17.3125,-11.9375
1686353863085708300,0.276708251953125,-48.6875,-17.25,-12.4375
1686353863105708300,0.296708251953125,-48.625,-17,-12.0625
1686353863125708300,0.316708251953125,-48.75,-17.125,-11.875
1686353863145708300,0.336708251953125,-49,-17.125,-12.125
1686353863165713000,0.356712890625,-49.3125,-16.9375,-12.0625
1686353863185708300,0.376708251953125,-49.3125,-17.25,-11.875
1686353863205708300,0.396708251953125,-49.375,-17.0625,-12.125
1686353863225708300,0.416708251953125,-49.4375,-16.9375,-12.4375
1686353863245708300,0.436708251953125,-49.5,-16.75,-12.375
1686353863265708300,0.456708251953125,-49.75,-16.9375,-12.75
1686353863285708300,0.476708251953125,-49.5625,-16.875,-12.625
1686353863305708300,0.496708251953125,-49.8125,-16.75,-12.5625
1686353863325708300,0.516708251953125,-50.0625,-17,-12.625
1686353863345708300,0.536708251953125,-50,-16.875,-12.625
1686353863365709800,0.556709716796875,-50.0625,-17.0625,-12.6875
1686353863385708300,0.576708251953125,-50.1875,-16.9375,-12.8125
1686353863405708300,0.596708251953125,-49.875,-17,-12.9375
1686353863425708300,0.616708251953125,-49.8125,-16.9375,-12.6875
1686353863445708300,0.636708251953125,-49.8125,-16.8125,-12.1875
1686353863465706800,0.656706787109375,-49.5625,-16.625,-12.3125
1686353863485706800,0.676706787109375,-49.75,-16.5,-12.375
1686353863505706800,0.696706787109375,-49.4375,-16.4375,-12.6875
1686353863525708300,0.716708251953125,-49.375,-16.125,-12.8125
1686353863545708300,0.736708251953125,-49.3125,-16.125,-13.25
1686353863565708300,0.756708251953125,-49.1875,-16.625,-13.25
1686353863585708300,0.776708251953125,-49.25,-16.4375,-13.125
1686353863605708300,0.796708251953125,-49.5,-16.5625,-13.0625
1686353863625708300,0.816708251953125,-49.6875,-16.75,-12.875
1686353863645708300,0.836708251953125,-49.625,-16.5625,-12.75
1686353863665708300,0.856708251953125,-49.625,-16.25,-12.3125
1686353863685706800,0.876706787109375,-50.0625,-16.25,-12.25
1686353863705706800,0.896706787109375,-49.9375,-16.3125,-12.25
1686353863725706800,0.916706787109375,-49.875,-16.5625,-12.4375
1686353863745706800,0.936706787109375,-50.1875,-16.5,-12.75
1686353863765708300,0.956708251953125,-50.125,-16.625,-13.0625
1686353863785708300,0.976708251953125,-50.0625,-16.625,-12.9375
1686353863805708300,0.996708251953125,-49.875,-16.5625,-13.25
1686353863825708300,1.016708251953125,-50.0625,-16.3125,-12.75
1686353863845708300,1.036708251953125,-50.0625,-16.375,-12.875
1686353863865708300,1.056708251953125,-49.6875,-16.375,-12.6875
1686353863885708300,1.076708251953125,-49.3125,-16.6875,-12.6875
1686353863905708300,1.096708251953125,-49.3125,-16.6875,-12.25
1686353863925708300,1.116708251953125,-49.125,-16.8125,-12.1875
1686353863945708300,1.136708251953125,-49,-17.125,-12.375
1686353863965708300,1.156708251953125,-49,-17.25,-12.5
1686353863985708300,1.176708251953125,-49.125,-17.125,-12.75
1686353864005708300,1.196708251953125,-49,-16.9375,-12.75
1686353864025708300,1.216708251953125,-49,-16.8125,-12.9375
1686353864045708300,1.236708251953125,-48.9375,-16.5625,-12.5625
1686353864065708300,1.256708251953125,-49.0625,-16.4375,-12.5625
1686353864085708300,1.276708251953125,-49,-16.5,-12.25
1686353864105706800,1.296706787109375,-49.375,-16.3125,-12.25
1686353864125706800,1.316706787109375,-49.5,-16.5625,-12.0625
1686353864145708300,1.336708251953125,-49.5625,-16.1875,-12.1875
1686353864165708300,1.356708251953125,-49.8125,-16.25,-12.0625
1686353864185708300,1.376708251953125,-49.5625,-16.625,-12.3125
1686353864205708300,1.396708251953125,-49.9375,-16.5625,-12.4375
1686353864225708300,1.416708251953125,-49.8125,-16.3125,-12.3125
1686353864245708300,1.436708251953125,-49.6875,-16.625,-12.75
1686353864265708300,1.456708251953125,-49.8125,-16.3125,-12.375
1686353864285708300,1.476708251953125,-49.375,-16.4375,-12.125
1686353864305708300,1.496708251953125,-49.3125,-16.75,-12.3125
1686353864325706800,1.516706787109375,-49.25,-16.75,-12
1686353864345708300,1.536708251953125,-49,-16.6875,-12.125
1686353864365708300,1.556708251953125,-49,-16.9375,-12.4375
1686353864385708300,1.576708251953125,-49.0625,-16.6875,-12.5
1686353864405708300,1.596708251953125,-48.8125,-16.875,-12.75
1686353864425706800,1.616706787109375,-48.75,-17.125,-12.9375
1686353864445708300,1.636708251953125,-49.125,-16.75,-13.125
1686353864465708300,1.656708251953125,-49.3125,-16.9375,-12.75
1686353864485708300,1.676708251953125,-49.25,-17,-12.6875
1686353864505708300,1.696708251953125,-49.3125,-17,-12.875
1686353864525708300,1.716708251953125,-49.3125,-16.9375,-12.6875
1686353864545708300,1.736708251953125,-49.5625,-16.8125,-12.5625
1686353864565708300,1.756708251953125,-49.8125,-16.625,-12.75
1686353864585708300,1.776708251953125,-49.75,-16.5625,-12.5625
1686353864605706800,1.796706787109375,-49.875,-16.5625,-12.5
1686353864625708300,1.816708251953125,-49.4375,-16.6875,-12.625
1686353864645706800,1.836706787109375,-49.3125,-16.625,-12.5625
1686353864665708300,1.856708251953125,-48.9375,-16.6875,-12.75
1686353864685708300,1.876708251953125,-49,-16.9375,-12.8125
1686353864705706800,1.896706787109375,-48.8125,-16.625,-13.0625
1686353864725706800,1.916706787109375,-49.1875,-16.625,-13.25
