time,seconds_elapsed,z,y,x
1685718455849738800,0.15873876953125,-11.75,-1.125,3.875
1685718455869738800,0.17873876953125,-11.75,-0.625,4.0625
1685718455889738800,0.19873876953125,-11.5625,-0.5625,3.9375
1685718455909738800,0.21873876953125,-11.5625,-0.5,4
1685718455929738800,0.23873876953125,-11.375,-0.125,3.9375
1685718455949738800,0.25873876953125,-11.5625,-0.0625,3.9375
1685718455969740300,0.278740234375,-11.625,0.0625,3.75
1685718455989737200,0.2987373046875,-11.875,0.1875,3.875
1685718456009737200,0.3187373046875,-11.875,0.375,3.9375
1685718456029737200,0.3387373046875,-11.875,0.75,3.875
1685718456049737200,0.3587373046875,-11.75,0.8125,3.875
1685718456069746700,0.37874658203125,-11.875,0.9375,3.9375
1685718456089737200,0.3987373046875,-11.875,0.75,3.8125
1685718456109738800,0.41873876953125,-12,0.5,3.9375
1685718456129737200,0.4387373046875,-11.9375,0.6875,4
1685718456149737200,0.4587373046875,-11.8125,0.75,4.125
1685718456169737200,0.4787373046875,-11.5625,0.625,4
1685718456189737200,0.4987373046875,-11.5,0.5,3.875
1685718456209737200,0.5187373046875,-11.5625,0.4375,3.6875
1685718456229737200,0.5387373046875,-11.5,0.4375,3.625
1685718456249737200,0.5587373046875,-11.5,0.6875,3.8125
1685718456269737200,0.5787373046875,-11.625,0.9375,3.9375
1685718456289737200,0.5987373046875,-11.5625,0.9375,3.75
1685718456309737200,0.6187373046875,-11.5625,0.75,3.875
1685718456329737200,0.6387373046875,-11.625,0.4375,3.75
1685718456349737200,0.6587373046875,-11.8125,0.6875,3.875
1685718456369737200,0.6787373046875,-11.75,0.8125,3.875
1685718456389737200,0.6987373046875,-11.875,0.8125,4.125
1685718456409737200,0.7187373046875,-11.8125,0.5,4.125
1685718456429754400,0.73875439453125,-11.9375,0.375,4.0625
1685718456449737200,0.7587373046875,-11.875,0.3125,3.875
1685718456469737200,0.7787373046875,-11.75,0.5,3.9375
1685718456489737200,0.7987373046875,-11.875,0.375,3.8125
1685718456509737200,0.8187373046875,-12.0625,0.5625,4.0625
