time,seconds_elapsed,z,y,x
1686052885508411000,0.125410888671875,-43.75,25.5625,-7.1875
1686052885528411000,0.145410888671875,-44,25.6875,-6.75
1686052885548411000,0.165410888671875,-43.875,25.375,-6.5625
1686052885568411000,0.185410888671875,-43.8125,25.375,-6.5625
1686052885588411000,0.205410888671875,-43.875,25.25,-6.5625
1686052885608411000,0.225410888671875,-43.75,25.25,-6.6875
1686052885628411000,0.245410888671875,-43.875,25.125,-6.6875
1686052885648411000,0.265410888671875,-44.0625,25.1875,-6.625
1686052885668411000,0.285410888671875,-44.0625,25,-6.625
1686052885688411000,0.305410888671875,-43.9375,24.9375,-6.4375
1686052885708411000,0.325410888671875,-43.9375,24.75,-6.5625
1686052885728411000,0.345410888671875,-44,25,-6.5
1686052885748411000,0.365410888671875,-43.875,25,-6.4375
1686052885768411000,0.385410888671875,-43.9375,25.0625,-6.5625
1686052885788411000,0.405410888671875,-44.0625,25.125,-6.4375
1686052885808411000,0.425410888671875,-43.9375,25.1875,-6.375
1686052885828409300,0.445409423828125,-43.9375,25.25,-6.4375
1686052885848411000,0.465410888671875,-43.8125,25.4375,-6.375
1686052885868409300,0.485409423828125,-43.8125,25.5,-6.4375
1686052885888409300,0.505409423828125,-43.9375,25.4375,-6.3125
1686052885908409300,0.525409423828125,-43.9375,25.125,-6.1875
1686052885928411000,0.545410888671875,-43.9375,25.0625,-6.25
1686052885948409300,0.565409423828125,-44,24.9375,-6.125
1686052885968409300,0.585409423828125,-43.875,24.9375,-6.125
1686052885988409300,0.605409423828125,-43.875,25,-6.3125
1686052886008409300,0.625409423828125,-43.875,24.875,-6.25
1686052886028409300,0.645409423828125,-44.125,24.9375,-6.0625
1686052886048409300,0.665409423828125,-44.3125,24.75,-6.125
1686052886068409300,0.685409423828125,-44.0625,24.8125,-6.25
1686052886088409300,0.705409423828125,-44.125,25,-6.4375
1686052886108409300,0.725409423828125,-44.1875,25,-6.375
1686052886128409300,0.745409423828125,-44.125,25.125,-6.25
1686052886148411000,0.765410888671875,-44.3125,25.0625,-6.1875
1686052886168409300,0.785409423828125,-44.5,25,-5.875
1686052886188411000,0.805410888671875,-44.5625,24.875,-5.9375
1686052886208411000,0.825410888671875,-44.5625,24.9375,-6.0625
1686052886228409300,0.845409423828125,-44.5,25,-6
1686052886248409300,0.865409423828125,-44.625,25.1875,-5.9375
1686052886268409300,0.885409423828125,-44.4375,25.125,-6.0625
1686052886288409300,0.905409423828125,-44.5,25.3125,-6.0625
1686052886308411000,0.925410888671875,-44.4375,25.3125,-6.3125
1686052886328411000,0.945410888671875,-44.375,25.25,-6.3125
1686052886348411000,0.965410888671875,-44.125,25.1875,-6.6875
1686052886368409300,0.985409423828125,-44,25.25,-6.625
1686052886388409300,1.005409423828125,-44,25,-6.6875
1686052886408409300,1.025409423828125,-43.875,25.0625,-6.625
1686052886428411000,1.045410888671875,-43.75,24.875,-6.625
1686052886448409300,1.065409423828125,-43.875,24.8125,-6.6875
1686052886468409300,1.085409423828125,-44,24.8125,-6.6875
1686052886488409300,1.105409423828125,-44,24.6875,-6.6875
1686052886508409300,1.125409423828125,-44,24.8125,-6.8125
1686052886528409300,1.145409423828125,-44.25,24.875,-6.4375
1686052886548409300,1.165409423828125,-44.375,24.875,-6.5
1686052886568409300,1.185409423828125,-44.375,25.125,-6.5
1686052886588411000,1.205410888671875,-44.5,25,-6.625
1686052886608411000,1.225410888671875,-44.5,25.125,-6.5
1686052886628411000,1.245410888671875,-44.5625,25.25,-6.3125
1686052886648411000,1.265410888671875,-44.375,25.0625,-6.3125
1686052886668411000,1.285410888671875,-44.4375,25.25,-6.25
1686052886688409300,1.305409423828125,-44.4375,25.1875,-6.125
1686052886708409300,1.325409423828125,-44.1875,25.1875,-6.25
